time/h,Ecell/V,(Q-Qo)/mA.h/g
0.62561,1.19088,-6.08928
0.631482,1.18982,-6.148
0.637616,1.18879,-6.20934
0.643325,1.18777,-6.26643
0.649541,1.18674,-6.32859
0.655517,1.18572,-6.38835
0.661537,1.1847,-6.44855
0.667567,1.18367,-6.50885
0.673791,1.18265,-6.57108
0.679872,1.18159,-6.6319
0.686228,1.18056,-6.69546
0.692174,1.17954,-6.75492
0.698395,1.17851,-6.81713
0.704943,1.17749,-6.88261
0.711248,1.17643,-6.94565
0.717792,1.1754,-7.01109
0.724112,1.17438,-7.0743
0.730341,1.17336,-7.13658
0.736973,1.17233,-7.2029
0.743143,1.17131,-7.26461
0.749781,1.17028,-7.33098
0.756018,1.16926,-7.39336
0.762868,1.16824,-7.46185
0.76926,1.16721,-7.52577
0.775937,1.16619,-7.59254
0.782324,1.16516,-7.65641
0.789124,1.16414,-7.72441
0.795731,1.16312,-7.79048
0.802169,1.16209,-7.85486
0.809144,1.16107,-7.92461
0.815984,1.16001,-7.99301
0.822748,1.15898,-8.06064
0.829801,1.15796,-8.13118
0.836477,1.1569,-8.19794
0.843298,1.15587,-8.26614
0.85046,1.15485,-8.33776
0.857371,1.15382,-8.40687
0.864255,1.1528,-8.47571
0.871438,1.15178,-8.54754
0.878427,1.15075,-8.61743
0.885308,1.14969,-8.68624
0.892626,1.14867,-8.75941
0.899794,1.14764,-8.8311
0.906868,1.14662,-8.90184
0.914027,1.14559,-8.97343
0.921349,1.14457,-9.04664
0.9283,1.14355,-9.11616
0.935344,1.14252,-9.18659
0.942538,1.1415,-9.25854
0.949889,1.14048,-9.33205
0.957513,1.13945,-9.40828
0.964708,1.13843,-9.48023
0.971927,1.13736,-9.55242
0.979839,1.13634,-9.63154
0.987163,1.13532,-9.70478
0.994677,1.13429,-9.77991
1.002,1.13327,-9.85317
1.00949,1.13225,-9.928
1.01707,1.13122,-10.0038
1.02462,1.1302,-10.0794
1.03197,1.12917,-10.1529
1.03982,1.12815,-10.2313
1.04733,1.12713,-10.3064
1.05495,1.1261,-10.3827
1.06274,1.12508,-10.4606
1.07033,1.12405,-10.5364
1.07825,1.12303,-10.6156
1.08608,1.12201,-10.694
1.09356,1.12098,-10.7688
1.10168,1.11996,-10.8499
1.10919,1.11894,-10.9251
1.11715,1.11791,-11.0046
1.1249,1.11689,-11.0822
1.13313,1.11586,-11.1644
1.14088,1.11484,-11.2419
1.1492,1.11382,-11.3251
1.15669,1.11279,-11.4001
1.16502,1.11177,-11.4833
1.17258,1.11074,-11.559
1.18092,1.11,-11.6423
1.18676,1.10897,-11.7007
